RX3,Taurus,—,Meat,—,—,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Sahiwal,Indicus,Pakistan,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Sahiwala_02.JPG/1024px-Sahiwala_02.JPG      ,,,,
Sibi Bhagnari,Zebu,"Sibi, Pakistan",Meat,—,Draught,Sibi Mela,,,,,
Salers,Taurus,France,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/1/1c/Vache_salers.jpg      ,,,,
Salorn,Taurus,—,Meat,—,—,—,,,,,
Sanga,Taurus/Indicus hybrid,—,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/c/c8/Watusi_Cattle1.jpg      ,,,,
Sanhe,Taurus/Mongolian hybrid,—,Meat,Dairy,Draught,—,,,,,
Santa Cruz,Taurus/Indicus hybrid,United States,Meat,—,—,—,,,,,
Santa Gertrudis,Taurus/Indicus hybrid,United States,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Santa_Gertrudis_bull.JPG/1024px-Santa_Gertrudis_bull.JPG      ,,,,
Sayaguesa,Taurus,Spain,Meat,—,Draught,—,,,,,
Schwyz,—,Switzerland,—,—,—,—,,,,,
Selembu,Gaur/Indicus hybrid,—,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Selembu.jpg/1024px-Selembu.jpg      ,,,,
Senepol,Taurus/Indicus hybrid,—,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Toro_25M.jpg/1024px-Toro_25M.jpg      ,,,,
Serbian Pied,Taurus,Serbia,—,Dairy,—,—,,,,,
Serbian Steppe,Taurus,Serbia,—,—,Draught,—,,,,,
Sheko,—,Ethiopia,—,—,—,—,,,,,
Shetland,Taurus,Scotland,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/1/13/Muscliff%2C_Shetland_Cattle_-_geograph.org.uk_-_734933.jpg      ,,,,
Shorthorn,Taurus,England,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Red_Shorthorn_Bull_IMG_0077.jpg/1024px-Red_Shorthorn_Bull_IMG_0077.jpg      ,,,,
Siboney de Cuba,Taurus/Indicus hybrid,—,Meat,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/9/9f/SiboneydeCuba.JPG      ,,,,
Simbrah,Taurus/Indicus hybrid,—,Meat,—,—,—,,,,,
Simford,Taurus,—,Meat,—,—,—,,,,,
Simmental,Taurus,Switzerland,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Simmentaler_Fleckvieh.jpg/1024px-Simmentaler_Fleckvieh.jpg      ,,,,
Siri,Zebu,Bhutan,—,Dairy,Draught,—,,,,,
South Devon,Taurus,England,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/South_Devon_cattle.JPG/1024px-South_Devon_cattle.JPG      ,,,,
Spanish Fighting Bull,Taurus,Spain,Meat,—,—,Sport, https://upload.wikimedia.org/wikipedia/commons/e/e7/El_Pilar_Bull_by_Alexander_Fiske-Harrison%2C_Seville_Feria_09.jpg      ,,,,
Speckle Park,Taurus,Canada,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Canadian_Speckle_Park.JPG/1024px-Canadian_Speckle_Park.JPG      ,,,,
Square Meater,Taurus,Australia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/8/82/Square_Meater.jpg      ,,,,
Stabiliser,Taurus,United States,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Stabiliser_Cows.jpg/1024px-Stabiliser_Cows.jpg      ,,,,
Sussex,Taurus,England,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Sussex_cow_4.JPG/1024px-Sussex_cow_4.JPG      ,,,,
Swedish Friesian,Taurus,—,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/9/9b/Svensk_L%C3%A5glandsboskap.jpg     ,,,,
Swedish Polled,Taurus,—,—,Dairy,—,—,,,,,
Swedish Red Pied,Taurus,—,—,Dairy,—,—,,,,,
Swedish Red Polled,Taurus,—,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/R%C3%B6dkull2.jpg/1024px-R%C3%B6dkull2.jpg      ,,,,
Swedish Red-and-White,Taurus,—,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Svensk_r%C3%B6d_och_vit_boskap_%28SRB%29%2C_cropped.jpg/1024px-Svensk_r%C3%B6d_och_vit_boskap_%28SRB%29%2C_cropped.jpg      ,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Tabapuã,Indicus,Brazil,Meat,Dairy,Draught,—,,,,,
Tarentaise,Taurus,France,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/5/5b/Vache-tarentaise-et-le-lac-de-roseland-ferme--6614e1T650.jpg      ,,,,
Tasmanian Grey,Taurus,—,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/c/ca/Tasmanian_Grey.jpg      ,,,,
Telemark,Taurus,Norway,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Telemarksfe.jpg/1024px-Telemarksfe.jpg      ,,,,
Texas Longhorn,Taurus,United States,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Texas_Longhorn_cow.jpg/1024px-Texas_Longhorn_cow.jpg      ,,,,
Texon,Taurus,—,Meat,—,—,—,,,,,
Thai Black,Taurus/Indicus hybrid,Thailand,Meat,—,—,—,,,,,
Thai Fighting Bull,Indicus,Thailand,—,—,—,Sport,,,,,
Thai Friesian,Taurus/Indicus hybrid,Thailand,—,Dairy,—,—,,,,,
Thai Milking Zebu,Taurus/Indicus hybrid,Thailand,—,Dairy,—,—,,,,,
Tharparkar,Indicus,India/ Pakistan,—,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Tharparkar_02.JPG/1024px-Tharparkar_02.JPG      ,,,,
Tswana,Taurus,Botswana,Meat,Dairy,—,—,,,,,
Tudanca,Taurus,Spain,Meat,Dairy,Draught,"Grazing projects, rewilding", https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/TudancaBull.JPG/1024px-TudancaBull.JPG      ,,,,
Tuli,Taurus,Zimbabwe,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/c/cf/Tuli_Bull_Calf.jpg      ,,,,
Tulim,Taurus/Indicus hybrid,—,Meat,—,—,—,,,,,
Turkish Grey Steppe,Taurus,—,Meat,—,Draught,—,,,,,
Tux-Zillertal,Taurus,Austria,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/TuxerRinder.JPG/1024px-TuxerRinder.JPG      ,,,,
Tyrol Grey,Taurus,Austria,Meat,,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Tiroler_Grauvieh01.jpg/1024px-Tiroler_Grauvieh01.jpg      ,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Umblachery,Indicus,India,—,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Amblacheri_02.JPG/1024px-Amblacheri_02.JPG      ,,,,
Ukrainian Grey,Taurus,Ukraine,—,—,—,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Valdostana Castana,—,Italy,—,—,—,—,,,,,
Valdostana Pezzata Nera,—,Italy,—,—,—,—,,,,,
Valdostana Pezzata Rossa,—,Italy,—,—,—,—,,,,,
Väneko,—,Sweden,—,—,—,—,,,,,
Vaynol,Taurus,Wales,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/5/5a/Vaynol_cow.png      ,,,,
Vechur,Indicus,India,—,Dairy,—,Milk and ghee traditionally used in Ayurvedic medicine. The protein content of the milk has anti-bacterial properties, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Vechur_Cow.jpg/1024px-Vechur_Cow.jpg      ,,,,
Vestland Fjord,Taurus,Norway,Meat,Dairy,—,—,,,,,
Vestland Red Polled,Taurus,Norway,Meat,Dairy,—,—,,,,,
Vianesa,Indicus,—,Meat,Dairy,—,—,,,,,
Volinian Beef,—,Ukraine,Meat,—,—,—,,,,,
Vorderwald,Taurus,Germany,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/5/5b/Noe_vorderwaelder.jpg      ,,,,
Vosgienne,Taurus,France,Meat,Dairy,—,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Waguli,Taurus,USA,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Waguli_CriolloX1.jpg/150px-Waguli_CriolloX1.jpg      ,,,,
Wangus,Taurus/Indicus hybrid,—,Meat,—,—,—,,,,,
Welsh Black,Taurus,Wales,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Welsh_Black_Cattle_Aberdare_Blog.jpg/1024px-Welsh_Black_Cattle_Aberdare_Blog.jpg      ,,,,
Western Finncattle,Taurus,Finland,Meat,Dairy,—,—,,,,,
White Cáceres,Taurus,—,Meat,—,Draught,—,,,,,
White Fulani,Indicus,—,Meat,—,—,—,,,,,
White Lamphun,Indicus,Thailand,—,—,Draught,—, https://upload.wikimedia.org/wikipedia/commons/1/19/White_Park.jpg      ,,,,
White Park,Taurus,Great Britain,Meat,Dairy,—,—,,,,,
Whitebred Shorthorn,Taurus,Great Britain,Meat,—,—,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Xinjiang Brown,Taurus/Mongolian hybrid,—,Meat,Dairy,Draught,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Yakutian,Taurus,Russia,Meat,Dairy,Draught,—,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Yakutian_Cattle_01_-_Head-on.jpeg/150px-Yakutian_Cattle_01_-_Head-on.jpeg,,,,
Yanbian,China,—,—,Draught,—,—,,,,,
Yanhuang,China,—,—,—,—,—,,,,,
Yurino,Taurus,Ukraine,—,—,—,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,image2,,,,
Żubroń,Taurus/European bison hybrid,Poland,Meat,—,—,Science, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Zubron2.jpg/150px-Zubron2.jpg     ,,,,
Zebu,Indicus,—,Meat,Dairy,Draft,—,,,,,
