Belgian Blue,Taurus,Belgium,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Sectio_caesarea.jpg/800px-Sectio_caesarea.jpg     ,,,,
Belgian Red,Taurus,"Belgium, France",Meat,Dairy,Draught,Endangered breed, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Puyenbroeck_Rood_West-Vlaams_rund_24-07-2011.png/800px-Puyenbroeck_Rood_West-Vlaams_rund_24-07-2011.png     ,,,,
Belgian Red Pied,Taurus,Belgium,Meat,Dairy,—,—,,,,,
Belgian White-and-Red,Taurus,Belgium,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Puyenbroeck_Oost-Vlaams_witrood_rund_24-07-2011.png/800px-Puyenbroeck_Oost-Vlaams_witrood_rund_24-07-2011.png     ,,,,
Belmont Red,Taurus/Indicus hybrid,Australia,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/2/26/Belmont_Red.jpg     ,,,,
Belted Galloway,Taurus,Scotland,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Belted_Galloway_at_Gretna_Green.jpg/800px-Belted_Galloway_at_Gretna_Green.jpg     ,,,,
Bernese,—,Switzerland,—,—,—,—,,,,,
Berrenda cattle,Taurus,Spain,Meat,Dairy,Draught,Sport, https://upload.wikimedia.org/wikipedia/commons/d/df/Toro_berrendo_en_colorado._Valdelazarza.jpg     ,,,,
Betizu,Taurus,"Spain, France",Meat,—,Draught,Semi-feral, https://upload.wikimedia.org/wikipedia/commons/c/ce/Betizu_sur_le_massif_du_Xoldokogaina.jpg     ,,,,
Bianca Modenese,Taurus,Italy,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Toro_di_razza_Bianca_Val_Padana.jpg/800px-Toro_di_razza_Bianca_Val_Padana.jpg     ,,,,
Blaarkop,Taurus,Netherlands,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/5/5e/Rode_blaarkop_hoogdrachtig.jpg     ,,,,
Blanca Cacereña,Taurus,Spain,Meat,Dairy,Draught,—,,,,,
Blanco Orejinegro BON,Taurus,Colombia,Meat,Dairy,Draught,—,,,,,
Blonde d'Aquitaine,Taurus,France,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Blonde_Aquitaine.jpg/800px-Blonde_Aquitaine.jpg     ,,,,
Blue Albion,Taurus,Great Britain,Meat,—,—,—,,,,,
Blue Grey,Taurus,Great Britain,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Blue_Gray_Cow.jpg/800px-Blue_Gray_Cow.jpg     ,,,,
Bohuskulla,—,Sweden,—,—,—,—,,,,,
Bonsmara,Taurus/Indicus hybrid,South Africa,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Bonsmara.jpg/800px-Bonsmara.jpg     ,,,,
Boran,Indicus,eastern Africa,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/b/bb/Boran_cattle_in_Kenya.jpg     ,,,,
Boškarin,Taurus,"Croatia, Slovenia",Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Bo%C5%A1karini_na_Brijunima.JPG/800px-Bo%C5%A1karini_na_Brijunima.JPG     ,,,,
Braford,Taurus/Indicus hybrid,United States,Meat,—,—,—,,,,,
Brahman,Indicus,India,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Brahman_%28EMAPA%29_110307_REFON_2.jpg/800px-Brahman_%28EMAPA%29_110307_REFON_2.jpg     ,,,,
Brahmousin,Taurus/Indicus hybrid,United States,Meat,—,Draught,—,,,,,
Brangus,Taurus/Indicus hybrid,United States,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Cow_with_calf.jpg/800px-Cow_with_calf.jpg     ,,,,
Braunvieh,Taurus,Switzerland,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/CH_cow_1.jpg/800px-CH_cow_1.jpg     ,,,,
Brava,—,Spain,—,—,—,—,,,,,
Bretonne Pie Noir,Taurus,France,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Vaches_Bretonnes_Pie_Noir.JPG/800px-Vaches_Bretonnes_Pie_Noir.JPG     ,,,,
British White,Taurus,Great Britain,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/a/a5/British_white.jpg     ,,,,
British Friesian,Taurus,Great Britain,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Cheshire_Cattle.JPG/800px-Cheshire_Cattle.JPG     ,,,,
Brown Carpathian,Taurus,Ukraine,—,—,—,—,,,,,
Brown Caucasian,Taurus,Armenia,Meat,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Dehorned_Cow_in_Armenia.tif/lossless-page1-800px-Dehorned_Cow_in_Armenia.tif.png     ,,,,
Brown Swiss,Taurus,Switzerland,—,Dairy,—,—, https://upload.wikimedia.org/wikipedia/commons/e/e9/Brown_swiss.jpg     ,,,,
Bue Lingo,Taurus,United States,Meat,Dairy,—,—,,,,,
Burlina,Taurus,Italy,—,Dairy,—,—,,,,,
Buša cattle,Taurus,"former Yugoslavia - Bosnia and Herzegovina, Croatia, Kosovo, Montenegro, North Macedonia, Serbia (Dinaric Alps)",Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/e/eb/Busha.jpg     ,,,,
Butana cattle,Indicus,Sudan,—,Dairy,—,—,,,,,
Bushuyev,Zebu,Uzbekistan,—,Dairy,—,—,,,,,
Breed,Subspecies,Country/region of origin,Meat,Dairy,Draught,Other,Image2,,,,
Cachena,Taurus,Portugal/Spain,Meat,Dairy,Draught,—, https://upload.wikimedia.org/wikipedia/commons/0/0a/Cachena1.jpg     ,,,,
Caldelana,Taurus,Spain,Meat,Dairy,Draught,—,,,,,
Camargue,Taurus,France,Meat,—,Draught,"Sport, semi-feral", https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Camargue_cattles.jpg/800px-Camargue_cattles.jpg     ,,,,
Campbell Island cattle,Taurus,New Zealand,—,—,—,Feral,,,,,
Canadian Speckle Park,Taurus,Canada,Meat,—,—,—, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Canadian_Speckle_Park.JPG/800px-Canadian_Speckle_Park.JPG     ,,,,
